x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-9.99897123381373376e-01,-1.00000000000000000e+00,-3.97846424423780806e-02,-3.97887357729738364e-02,-3.97887357729738364e-02,-7.95733782153519170e-02,-7.95774715459476728e-02
1.00724999999999998e+00,1.00724999999999998e+00,9.92802184164805146e-01,-9.85707244948244465e-01,-9.85656176882407697e-01,-3.86574797289043343e-02,-3.86554769408250162e-02,-3.86554769408250162e-02,-7.73129566697293436e-02,-7.73109538816500325e-02
1.01449999999999996e+00,1.01449999999999996e+00,9.85707244948250461e-01,-9.71668396540053436e-01,-9.71618772743470194e-01,-3.75641974891732233e-02,-3.75622790588716407e-02,-3.75622790588716476e-02,-7.51264765480448710e-02,-7.51245581177432953e-02
1.02174999999999994e+00,1.02174999999999994e+00,9.78712992414974337e-01,-9.57927351747585476e-01,-9.57879121521873600e-01,-3.65092928711359815e-02,-3.65074546822247437e-02,-3.65074546822247437e-02,-7.30167475533607252e-02,-7.30149093644494873e-02
1.02899999999999991e+00,1.02899999999999991e+00,9.71817298347910641e-01,-9.44475746600701882e-01,-9.44428861368232009e-01,-3.54911605476908448e-02,-3.54893987117528703e-02,-3.54893987117528703e-02,-7.09805592594437151e-02,-7.09787974235057406e-02
1.03624999999999989e+00,1.03624999999999989e+00,9.65018094089264311e-01,-9.31305508718637043e-01,-9.31259921919676104e-01,-3.45082729909963679e-02,-3.45065838334765174e-02,-3.45065838334765243e-02,-6.90148568244728922e-02,-6.90131676669530347e-02
1.04350000000000009e+00,1.04350000000000009e+00,9.58313368471490068e-01,-9.18408845195600065e-01,-9.18364512191173876e-01,-3.35591761930987692e-02,-3.35575562401611502e-02,-3.35575562401611571e-02,-6.71167324332599263e-02,-6.71151124803223142e-02
1.05075000000000007e+00,1.05075000000000007e+00,9.51701165833928053e-01,-9.05778231069461981e-01,-9.05735109049657816e-01,-3.26424856495584823e-02,-3.26409316158399049e-02,-3.26409316158399049e-02,-6.52834172653983802e-02,-6.52818632316798098e-02
1.05800000000000005e+00,1.05800000000000005e+00,9.45179584120982907e-01,-8.93406398342108332e-01,-8.93364446239114263e-01,-3.17568825882540082e-02,-3.17553913654335870e-02,-3.17553913654335870e-02,-6.35122739536875952e-02,-6.35107827308671741e-02
1.06525000000000003e+00,1.06525000000000003e+00,9.38746773057967610e-01,-8.81286325520733271e-01,-8.81245503926747276e-01,-3.09011104268181146e-02,-3.08996790729583887e-02,-3.08996790729583887e-02,-6.18007894997765067e-02,-6.17993581459167773e-02
