x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.17399999999999993e+00,1.17399999999999993e+00,7.25544085509723713e-01,-1.23611486877415189e+00,-1.23602058860259589e+00,-3.56847597278766859e-02,-3.56820380024496508e-02,-1.78410190012248220e-02,-5.35257787291015114e-02,-5.35230570036744763e-02
1.18124999999999991e+00,1.18124999999999991e+00,7.16665266929817357e-01,-1.21349293229709332e+00,-1.21340151014572251e+00,-3.46029996619868219e-02,-3.46003927406040995e-02,-1.73001963703020532e-02,-5.19031960322888786e-02,-5.19005891109061562e-02
1.18849999999999989e+00,1.18849999999999989e+00,7.07948437991415935e-01,-1.19141965273094996e+00,-1.19133098526111225e+00,-3.35603535828934360e-02,-3.35578559644999219e-02,-1.67789279822499610e-02,-5.03392815651433970e-02,-5.03367839467498829e-02
1.19575000000000009e+00,1.19575000000000009e+00,6.99389681965218335e-01,-1.16987849678690026e+00,-1.16979248499304744e+00,-3.25551814010167362e-02,-3.25527878793311978e-02,-1.62763939396655989e-02,-4.88315753406823316e-02,-4.88291818189968002e-02
1.20300000000000007e+00,1.20300000000000007e+00,6.90985199788005655e-01,-1.14885352545731934e+00,-1.14877007446052470e+00,-3.15859211532479034e-02,-3.15836267993146041e-02,-1.57918133996573021e-02,-4.73777345529052055e-02,-4.73754401989719062e-02
1.21025000000000005e+00,1.21025000000000005e+00,6.82731305846087322e-01,-1.12832936924260707e+00,-1.12824838809516592e+00,-3.06510848409662778e-02,-3.06488849868382200e-02,-1.53244424934191117e-02,-4.59755273343853896e-02,-4.59733274802573283e-02
1.21750000000000003e+00,1.21750000000000003e+00,6.74624423933987916e-01,-1.10829120455129981e+00,-1.10821260605172545e+00,-2.97492545129608398e-02,-2.97471447364340835e-02,-1.48735723682170435e-02,-4.46228268811778850e-02,-4.46207171046511253e-02
1.22475000000000001e+00,1.22475000000000001e+00,6.66661083380093444e-01,-1.08872473121146385e+00,-1.08864843172907677e+00,-2.88790785775001752e-02,-2.88770546878207093e-02,-1.44385273439103564e-02,-4.33176059214105333e-02,-4.33155820317310675e-02
1.23199999999999998e+00,1.23199999999999998e+00,6.58837915331421775e-01,-1.06961615103433161e+00,-1.06954207034321724e+00,-2.80392683288775840e-02,-2.80373263533622227e-02,-1.40186631766811131e-02,-4.20579315055586989e-02,-4.20559895300433376e-02
1.23924999999999996e+00,1.23924999999999996e+00,6.51151649190095716e-01,-1.05095214737577436e+00,-1.05088020849722930e+00,-2.72285946748079995e-02,-2.72267308463071921e-02,-1.36133654231535978e-02,-4.08419600979615938e-02,-4.08400962694607933e-02
1.24649999999999994e+00,1.24649999999999994e+00,6.43599109194473051e-01,-1.03271986564313778e+00,-1.03264999469630658e+00,-2.64458850519607193e-02,-2.64440957971106456e-02,-1.32220478985553228e-02,-3.96679329505160438e-02,-3.96661436956659702e-02
1.25375000000000014e+00,1.25375000000000014e+00,6.36177211138269971e-01,-1.01490689469866879e+00,-1.01483902075895505e+00,-2.56900205178027356e-02,-2.56883024460141038e-02,-1.28441512230070502e-02,-3.85341717408097875e-02,-3.85324536690211522e-02
