x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.16674999999999995e+00,1.16674999999999995e+00,9.25787036540222208e-01,-3.96747108925353587e-01,-3.96737534407637538e-01,-1.15962692877942045e-02,-1.15959894402962952e-02,-2.31919788805925869e-02,-3.47882481683867914e-02,-3.47879683208888804e-02
1.17399999999999993e+00,1.17399999999999993e+00,9.22924025252574998e-01,-3.93077523017232977e-01,-3.93068153855440805e-01,-1.13475513624468009e-02,-1.13472808889690923e-02,-2.26945617779381846e-02,-3.40421131403849872e-02,-3.40418426669072752e-02
1.18124999999999991e+00,1.18124999999999991e+00,9.20087412456472298e-01,-3.89464158833867202e-01,-3.89454989399565021e-01,-1.11056503073104617e-02,-1.11053888390121192e-02,-2.22107776780242384e-02,-3.33164279853346984e-02,-3.33161665170363594e-02
1.18849999999999989e+00,1.18849999999999989e+00,9.17276794949483998e-01,-3.85905817785392458e-01,-3.85896842637561688e-01,-1.08703391495071147e-02,-1.08700863341922339e-02,-2.17401726683844679e-02,-3.26105118178915826e-02,-3.26102590025767053e-02
1.19575000000000009e+00,1.19575000000000009e+00,9.14491778098584063e-01,-3.82401333936890353e-01,-3.82392547814586647e-01,-1.06413997936521797e-02,-1.06411552949232987e-02,-2.12823105898466008e-02,-3.19237103834987823e-02,-3.19234658847699013e-02
1.20300000000000007e+00,1.20300000000000007e+00,9.11731975607399048e-01,-3.78949572927545830e-01,-3.78940970742892347e-01,-1.04186226236123447e-02,-1.04183861200719107e-02,-2.08367722401438214e-02,-3.12553948637561696e-02,-3.12551583602157304e-02
1.21025000000000005e+00,1.21025000000000005e+00,9.08997009291134694e-01,-3.75549430931833683e-01,-3.75541007763327661e-01,-1.02018061243899158e-02,-1.02015773088866193e-02,-2.04031546177732420e-02,-3.06049607421631578e-02,-3.06047319266598630e-02
1.21750000000000003e+00,1.21750000000000003e+00,9.06286508858887507e-01,-3.72199833660822321e-01,-3.72191584746976389e-01,-9.99075652300276777e-03,-9.99053510192096997e-03,-1.99810702038419434e-02,-2.99718267268447094e-02,-2.99716053057629134e-02
1.22475000000000001e+00,1.22475000000000001e+00,9.03600111703052766e-01,-3.68899735401967632e-01,-3.68891656135151180e-01,-9.78528744730352944e-03,-9.78507313988995556e-03,-1.95701462797799111e-02,-2.93554337270834423e-02,-2.93552194196698667e-02
1.23199999999999998e+00,1.23199999999999998e+00,9.00937462695558966e-01,-3.65648118095421637e-01,-3.65640204016054793e-01,-9.58521960173502538e-03,-9.58501213946481856e-03,-1.91700242789296406e-02,-2.87552438806646660e-02,-2.87550364183944591e-02
1.23924999999999996e+00,1.23924999999999996e+00,8.98298213990669114e-01,-3.62443990445555642e-01,-3.62436237236501591e-01,-9.39038045909558819e-03,-9.39017958507169619e-03,-1.87803591701433924e-02,-2.81707396292389806e-02,-2.81705387552150868e-02
1.24649999999999994e+00,1.24649999999999994e+00,8.95682024834098423e-01,-3.59286387065935742e-01,-3.59278790547171489e-01,-9.20060396742997458e-03,-9.20040943581620571e-03,-1.84008188716324114e-02,-2.76014228390623860e-02,-2.76012283074486171e-02
1.25375000000000014e+00,1.25375000000000014e+00,8.93088561378212908e-01,-3.56174367656464597e-01,-3.56166923779945299e-01,-9.01573027122523456e-03,-9.01554184670914222e-03,-1.80310836934182810e-02,-2.70468139646435138e-02,-2.70466255401274232e-02
1.26100000000000012e+00,1.26100000000000012e+00,8.90517496503079653e-01,-3.53107016211161806e-01,-3.53099721055939564e-01,-8.83560544613215017e-03,-8.83542290341775283e-03,-1.76708458068355057e-02,-2.65064512529676541e-02,-2.65062687102532585e-02
1.26825000000000010e+00,1.26825000000000010e+00,8.87968509643151105e-01,-3.50083440255403389e-01,-3.50076290022925674e-01,-8.66008124648628454e-03,-8.65990436981327501e-03,-1.73198087396265500e-02,-2.59798899861128363e-02,-2.59797131094398268e-02
1.27550000000000008e+00,1.27550000000000008e+00,8.85441286619376267e-01,-3.47102770111277437e-01,-3.47095761120884416e-01,-8.48901486494018157e-03,-8.48884344762877371e-03,-1.69776868952575474e-02,-2.54667017601977290e-02,-2.54665303428863211e-02
1.28275000000000006e+00,1.28275000000000006e+00,8.82935519476537589e-01,-3.44164158189833813e-01,-3.44157286874503032e-01,-8.32226870356025938e-03,-8.32210254758158213e-03,-1.66442050951631677e-02,-2.49664737987234271e-02,-2.49663076427447499e-02
1.29000000000000004e+00,1.29000000000000004e+00,8.80450906325623728e-01,-3.41266778309268659e-01,-3.41260041211482068e-01,-8.15971015578482485e-03,-8.15954907135257521e-03,-1.63190981427051504e-02,-2.44788082984899735e-02,-2.44786472140577256e-02
1.29725000000000001e+00,1.29725000000000001e+00,8.77987151191053194e-01,-3.38409825037842893e-01,-3.38403218805570727e-01,-8.00121139866763822e-03,-8.00105520384985364e-03,-1.60021104076997038e-02,-2.40033218063673420e-02,-2.40031656115495574e-02
