x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-2.49987895281350347e-01,-2.50000000000000000e-01,-9.94670231179150231e-03,-9.94718394324345910e-03,-3.97887357729738364e-02,-4.97354380847653404e-02,-4.97359197162172972e-02
1.00724999999999998e+00,1.00724999999999998e+00,9.98195668494482491e-01,-2.47758726930342732e-01,-2.47752709976292507e-01,-9.71660501944647363e-03,-9.71636904646319861e-03,-3.88654761858528014e-02,-4.85820812052992768e-02,-4.85818452323159983e-02
1.01449999999999996e+00,1.01449999999999996e+00,9.96407498459510044e-01,-2.45547400861198639e-01,-2.45541522538075430e-01,-9.49273547616409814e-03,-9.49250822323347704e-03,-3.79700328929339151e-02,-4.74627683690980115e-02,-4.74625411161673921e-02
1.02174999999999994e+00,1.02174999999999994e+00,9.94635231181995261e-01,-2.43371349707473428e-01,-2.43365605867872592e-01,-9.27556339914917607e-03,-9.27534448534343692e-03,-3.71013779413737546e-02,-4.63769413405229342e-02,-4.63767224267171915e-02
1.02899999999999991e+00,1.02899999999999991e+00,9.92878613888751760e-01,-2.41229766385501421e-01,-2.41224153034196281e-01,-9.06484300786324082e-03,-9.06463207142247165e-03,-3.62585282856898866e-02,-4.53233712935531274e-02,-4.53231603571123548e-02
1.03624999999999989e+00,1.03624999999999989e+00,9.91137399569405386e-01,-2.39121867790942133e-01,-2.39116381078264301e-01,-8.86033918472154541e-03,-8.86013588196306497e-03,-3.54405435278522668e-02,-4.43008827125738122e-02,-4.43006794098153300e-02
1.04350000000000009e+00,1.04350000000000009e+00,9.89411346805783021e-01,-2.37046893924684809e-01,-2.37041530140340906e-01,-8.66182694217305579e-03,-8.66163094647375356e-03,-3.46465237858950212e-02,-4.33083507280680735e-02,-4.33081547323687782e-02
1.05075000000000007e+00,1.05075000000000007e+00,9.87700219607497432e-01,-2.35004107056653311e-01,-2.34998862623720522e-01,-8.46909091988967341e-03,-8.46890192072754198e-03,-3.38756076829101679e-02,-4.23446986027998379e-02,-4.23445096036377117e-02
1.05800000000000005e+00,1.05800000000000005e+00,9.86003787253461494e-01,-2.32992790925266036e-01,-2.32987662394485207e-01,-8.28192491015714884e-03,-8.28174261221283244e-03,-3.31269704488513228e-02,-4.14088953590084699e-02,-4.14087130610641535e-02
1.06525000000000003e+00,1.06525000000000003e+00,9.84321824139081092e-01,-2.31012249970845573e-01,-2.31007234015273649e-01,-8.10013140970819098e-03,-8.09995553202515553e-03,-3.23998221281006221e-02,-4.04999535378088166e-02,-4.04997776601257742e-02
1.07250000000000001e+00,1.07250000000000001e+00,9.82654109628884220e-01,-2.29061808601528583e-01,-2.29056902011394919e-01,-7.92352119636448478e-03,-7.92335147155892594e-03,-3.16934058862357038e-02,-3.96169270826001868e-02,-3.96167573577946297e-02
1.07974999999999999e+00,1.07974999999999999e+00,9.81000427914358930e-01,-2.27140810489871114e-01,-2.27136010167714508e-01,-7.75191292895034429e-03,-7.75174910247059933e-03,-3.10069964098823973e-02,-3.87589093388327408e-02,-3.87587455123529975e-02
1.08699999999999997e+00,1.08699999999999997e+00,9.79360567876781163e-01,-2.25248617898813563e-01,-2.25243920854825475e-01,-7.58513276905829325e-03,-7.58497459848835130e-03,-3.03398983939534052e-02,-3.79250311630116993e-02,-3.79248729924417591e-02
1.09424999999999994e+00,1.09424999999999994e+00,9.77734322954826207e-01,-2.23384611035513103e-01,-2.23380014383099429e-01,-7.42301402333437992e-03,-7.42286127773937685e-03,-2.96914451109575109e-02,-3.71144591342918925e-02,-3.71143063886968869e-02
1.10149999999999992e+00,1.10149999999999992e+00,9.76121491016766263e-01,-2.21548187431707788e-01,-2.21543688383287862e-01,-7.26539680504301698e-03,-7.26524926435494038e-03,-2.90609970574197650e-02,-3.63263938624627802e-02,-3.63262463217747036e-02
1.10874999999999990e+00,1.10874999999999990e+00,9.74521874237066488e-01,-2.19738761349404399e-01,-2.19734357212416354e-01,-7.11212771375548027e-03,-7.11198516819576410e-03,-2.84479406727830633e-02,-3.55600683865385445e-02,-3.55599258409788274e-02
1.11600000000000010e+00,1.11600000000000010e+00,9.72935278977199669e-01,-2.17955763210795794e-01,-2.17951451383781275e-01,-6.96305953208399379e-03,-6.96292178161687231e-03,-2.78516871264674927e-02,-3.48147466585514848e-02,-3.48146089080843685e-02
1.12325000000000008e+00,1.12325000000000008e+00,9.71361515670509990e-01,-2.16198639050844577e-01,-2.16194417019922092e-01,-6.81805093843728966e-03,-6.81791779226199619e-03,-2.72716711690479847e-02,-3.40897221074852735e-02,-3.40895889613099801e-02
1.13050000000000006e+00,1.13050000000000006e+00,9.69800398710962464e-01,-2.14466849992206221e-01,-2.14462715327501635e-01,-6.67696623487738870e-03,-6.67683751094347560e-03,-2.67073500437739024e-02,-3.33843162786512937e-02,-3.33841875547173789e-02
1.13775000000000004e+00,1.13775000000000004e+00,9.68251746345623054e-01,-2.12759871740729523e-01,-2.12755822093083496e-01,-6.53967508917050952e-03,-6.53955061372495702e-03,-2.61582024548998350e-02,-3.26978775440703445e-02,-3.26977530686247894e-02
