alpha,r0,n_grid,throat_identity_abs_error,flare_out_value_bprime_at_throat,max_rel_error_bprime_interior,max_rel_error_nec_interior,max_numeric_nec_interior,min_numeric_nec_interior,all_analytic_nec_negative,all_numeric_nec_negative,flat_control_max_abs,schwarzschild_lapse_strictly_increases_away_from_horizon
2.0,1.0,2001,0.0,-2.0,0.00036567097111503427,0.00024378064741005935,-4.971979548776013e-09,-0.08413965955310079,True,True,0.0,True
2.0,1.0,4001,0.0,-2.0,9.790588787376819e-05,6.527059191585984e-05,-4.94197568566829e-09,-0.09990495372341132,True,True,0.0,True
0.25,2.0,501,0.0,-0.25,0.0009489093021486194,0.00018978186042980141,-2.0308446294159285e-07,-0.0054359570530424966,True,True,0.0,True
0.25,2.0,1001,0.0,-0.25,0.0003008283487977852,6.016566975968602e-05,-1.9989627671042755e-07,-0.00800789664320495,True,True,0.0,True
0.25,2.0,2001,0.0,-0.25,8.56914539185029e-05,1.7138290783743703e-05,-1.9832672632046786e-07,-0.009904359080325534,True,True,0.0,True
0.25,2.0,4001,0.0,-0.25,2.2945783359093956e-05,4.589156671875741e-06,-1.9754799600367229e-07,-0.011075220678143453,True,True,0.0,True
0.5,2.0,501,0.0,-0.5,0.0012654605052445727,0.00042182016841489374,-1.0438364825030677e-07,-0.006122243200287032,True,True,0.0,True
0.5,2.0,1001,0.0,-0.5,0.00040112940168101794,0.00013370980056035738,-1.0261993355017565e-07,-0.009290311377738676,True,True,0.0,True
0.5,2.0,2001,0.0,-0.5,0.00011425729527970352,3.8085765093208595e-05,-1.0175245378029776e-07,-0.01167931562707309,True,True,0.0,True
0.5,2.0,4001,0.0,-0.5,3.059452285840012e-05,1.019817428631971e-05,-1.0132225252057752e-07,-0.013172552391435794,True,True,0.0,True
1.0,2.0,501,0.0,-1.0,0.002025607923234188,0.0010128039616170326,-2.5534088835952317e-08,-0.007191358442170842,True,True,0.0,True
1.0,2.0,1001,0.0,-1.0,0.0006418945735879674,0.00032094728679390164,-2.504159846443129e-08,-0.011578373662887975,True,True,0.0,True
1.0,2.0,2001,0.0,-1.0,0.00018281877420945808,9.140938710462328e-05,-2.4799814806321206e-08,-0.015037673045350811,True,True,0.0,True
1.0,2.0,4001,0.0,-1.0,4.895174578861701e-05,2.4475872894417e-05,-2.4680019454515516e-08,-0.017253714206118223,True,True,0.0,True
2.0,2.0,501,0.0,-2.0,0.00405531893392562,0.0027035459559505573,-1.2891704778133312e-09,-0.00837616845573621,True,True,0.0,True
2.0,2.0,1001,0.0,-2.0,0.0012842011758176415,0.0008561341172118697,-1.2581620241659018e-09,-0.015176290307224918,True,True,0.0,True
2.0,2.0,2001,0.0,-2.0,0.00036567097111503427,0.00024378064741005935,-1.2429948871940033e-09,-0.021034914888275198,True,True,0.0,True
2.0,2.0,4001,0.0,-2.0,9.790588787376819e-05,6.527059191585984e-05,-1.2354939214170724e-09,-0.02497623843085283,True,True,0.0,True
